Date : 2024-06-20 17:42:54
Directory : d:\KhoiDz\package-manager
Total : 73 files,  1461 codes, 121 comments, 248 blanks, all 1830 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\details.md                                                             | Markdown        |        -66 |          0 |         -6 |        -72 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\diff-details.md                                                        | Markdown        |         -9 |          0 |         -6 |        -15 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\diff.md                                                                | Markdown        |        -12 |          0 |         -7 |        -19 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\results.json                                                           | JSON            |         -1 |          0 |          0 |         -1 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\results.md                                                             | Markdown        |        -51 |          0 |         -7 |        -58 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\details.md                                                             | Markdown        |        -66 |          0 |         -6 |        -72 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\diff-details.md                                                        | Markdown        |         -9 |          0 |         -6 |        -15 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\diff.md                                                                | Markdown        |        -12 |          0 |         -7 |        -19 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\results.json                                                           | JSON            |         -1 |          0 |          0 |         -1 |
| d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\results.md                                                             | Markdown        |        -52 |          0 |         -7 |        -59 |
| d:\KhoiDz\package-manager\package-manager-fe\package-lock.json                                                                                         | JSON            |         29 |          0 |          0 |         29 |
| d:\KhoiDz\package-manager\package-manager-fe\package.json                                                                                              | JSON            |          1 |          0 |          0 |          1 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-chart\SimpleBarChart.tsx                                                     | TypeScript JSX  |          3 |          0 |         -1 |          2 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-chart\SimpleLineChart.tsx                                                    | TypeScript JSX  |          3 |          0 |          0 |          3 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-date-picker\CustomDateRangePicker.tsx                                        | TypeScript JSX  |         49 |          0 |          1 |         50 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-dialog\CustomDialog.tsx                                                      | TypeScript JSX  |          4 |          0 |          0 |          4 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\data-table\Columns.tsx                                                              | TypeScript JSX  |         -4 |          0 |          0 |         -4 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\data-table\DataTable.tsx                                                            | TypeScript JSX  |        136 |          2 |          5 |        143 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\homeview\RequestPackageDialog.tsx                                                   | TypeScript JSX  |         35 |          0 |          1 |         36 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\data-visualization\DataVisualization.tsx                            | TypeScript JSX  |          9 |          0 |         -1 |          8 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\data-visualization\bar-chart-card-view\BarChartCard.tsx             | TypeScript JSX  |          2 |          0 |          0 |          2 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\highest-by-dep-by-date\HighestByDepByDate.tsx | TypeScript JSX  |         27 |          0 |          2 |         29 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\highest-use-table\HighestUseTable.tsx         | TypeScript JSX  |         17 |          0 |          2 |         19 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\total-waybill-table\TotalWaybillTable.tsx     | TypeScript JSX  |        -24 |          0 |         -2 |        -26 |
| d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\alert-dialog.tsx                                                                        | TypeScript JSX  |        126 |          0 |         14 |        140 |
| d:\KhoiDz\package-manager\package-manager-fe\src\interface\packageInterface.ts                                                                         | TypeScript      |         -4 |          0 |          0 |         -4 |
| d:\KhoiDz\package-manager\package-manager-fe\src\redux\slices\packageSlice.tsx                                                                         | TypeScript JSX  |         58 |         -1 |          0 |         57 |
| d:\KhoiDz\package-manager\package-manager-fe\src\services\StatsService.tsx                                                                             | TypeScript JSX  |        -10 |          0 |          2 |         -8 |
| d:\KhoiDz\package-manager\package-manager-fe\src\services\TableService.tsx                                                                             | TypeScript JSX  |         18 |          2 |         -1 |         19 |
| d:\KhoiDz\package-manager\package-manager-fe\src\views\management-view\statistics-table-view\StatisticsTableView.tsx                                   | TypeScript JSX  |         17 |          0 |          2 |         19 |
| Total                                                                                                                                                  |                 |      1,461 |        121 |        248 |      1,830 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
